giorno;mese;progessivo;santo
22;01;15;Ladislao Batthyány-Strattmann, padre di famiglia.
23;01;1;santi Severiano e Aquila, martiri
23;01;2;sant'Emerenziana, vergine e martire
23;01;3;santi Clemente, vescovo di Ancira, e Agatangelo, martiri
23;01;4;sant'Amasio, vescovo di Teano
23;01;5;sant'Ildefonso, vescovo di Toledo
23;01;6;san Maimbodo, pellegrino ed eremita
23;01;7;sant'Andrea Chong Hwa-Gyong, catechista e martire di Corea.
24;01;1;san Francesco di Sales, vescovo di Ginevra e dottore della Chiesa
24;01;2;san Feliciano, primo vescovo di Foligno
24;01;3;san Sabiniano, martire a Troyes
24;01;4;san Babila, vescovo di Antiochia
24;01;5;santi Urbano, Prilidano ed Epolono, fanciulli martiri
24;01;6;sant'Esuperanzio, vescovo di Cingoli
24;01;7;beata Paola Gambara Costa, vedova
24;01;8;beati Guglielmo Ireland, sacerdote gesuita, e Giovanni Grove, martiri
24;01;9;beata Maria Poussepin, vergine, fondatrice delle suore domenicane della Carità
24;01;10;beati Vincenzo Lewionuk e dodici compagni, martiri
24;01;11;beato Timoteo Giaccardo, sacerdote paolino.
25;01;1;festa della conversione di san Paolo
25;01;2;sant'Artema, martire
25;01;3;sant'Agileo, martire a Cartagine
25;01;4;santi Gioventino e Massimino, martiri
25;01;5;natale di san Gregorio Nazianzeno
25;01;6;san Bretannione, vescovo di Tomi, in Scizia
25;01;7;san Palemone, anacoreta
25;01;8;santi Preietto, vescovo di Clermont, e Amarino, uomo di Dio, martiri in Alvernia
25;01;9;san Poppone, abate di Stavelot e di Malmedy
25;01;10;beato Enrico Suso, sacerdote domenicano
25;01;11;beato Antonio Migliorati, sacerdote agostiniano
25;01;12;beata Arcangela Girlani, vergine carmelitana
25;01;13;beato Emanuele Domingo y Sol, sacerdote, fondatore dei Sacerdoti Operai Diocesani
25;01;14;beata Maria Antonia Grillo, vedova, fondatrice delle Piccole Suore della Divina Provvidenza
25;01;15;beato Antonio Swiadek, sacerdote e martire a Dachau.
26;01;1;santi Timoteo e Tito, discepoli di san Paolo
26;01;2;san Teogene, martire
26;01;3;santa Paola, vedova
26;01;4;sant'Alberico, abate di Cîteaux
26;01;5;sant'Agostino Erlendsson, arcivescovo di Nidaros
26;01;6;beata Maria de la Dive, martire
26;01;7;beato Michele Kozal, vescovo ausiliare di W?oc?awek e martire a Dachau.
27;01;1;sant'Angela Merici, vergine, fondatrice della compagnia di sant'Orsola
27;01;2;san Giuliano, martire
27;01;3;san Giuliano, primo vescovo di Le Mans
27;01;4;santa Devota, vergine e martire
27;01;5;san Marino, abate di Bodon
27;01;6;san Vitaliano, papa
27;01;7;san Teodorico, vescovo di Orléans
27;01;8;san Gilduino, diacono di Dol
27;01;9;beato Giovanni, canonico regolare
27;01;10;beato Manfredo Settala, sacerdote ed eremita
27;01;11;beata Rosalia du Verdier de la Sorinière, vergine del monastero del Calvario e martire
27;01;12;san Giovanni Maria, detto Muzei, martire dell'Uganda
27;01;13;sant'Enrico de Ossó y Cervelló, sacerdote, fondatore della Compagnia di Santa Teresa di Gesù
27;01;14;beato Giorgio Matulaitis, vescovo di Vilnius e poi nunzio apostolico in Lituania.
28;01;1;san Tommaso d'Aquino, sacerdote domenicano e dottore della Chiesa
28;01;2;san Giovanni, sacerdote, fondatore del monastero di Réome
28;01;3;san Giacomo, eremita in Palestina
28;01;4;san Giuliano, vescovo di Cuenca
28;01;5;beato Bartolomeo, religioso camaldolese
28;01;6;beato Giuliano Maunoir, sacerdote gesuita
28;01;7;santi Agata Lin Zhao, vergine, Girolamo Lu Tingmei e Lorenzo Wang Bing, martiri della Cina
28;01;8;beato Giuseppe Freinadametz, sacerdote verbita
28;01;9;beata Maria Luisa Montesinos Orduña, vergine e martire
28;01;10;beata Olimpia Bida, vergine delle Suore di San Giuseppe e martire.
29;01;1;santi Sarbellio, sacerdote, e Bebaia, sua sorella, martiri
29;01;2;santi Papia e Mauro, soldati, martiri
29;01;3;san Costanzo, vescovo di Perugia
29;01;4;santi Gioventino e Massimino, martiri
29;01;5;san Valerio, primo vescovo di Treviri
29;01;6;sant'Afraate, anacoreta
29;01;7;san Gildas, abate
29;01;8;san Sulpizio Severo, vescovo di Bourges
29;01;9;beata Villana de' Botti, terziaria domenicana
29;01;10;beata Boleslava Maria Lament, vergine, fondatrice delle Suore Missionarie della Sacra Famiglia.
30;01;1;san Mattia, vescovo di Gerusalemme
30;01;2;san Barsimeo, vescovo di Edessa di Osroene
30;01;3;santa Martina vergine e martire
30;01;4;santa Batilde
30;01;5;sant'Aldegonda, badessa di Maubeuge
30;01;6;sant'Armentario, vescovo di Pavia
30;01;7;san Teofilo, detto il Giovane, martire
30;01;8;sant'Adelemo, abate di Burgos
30;01;9;beato Francesco Taylor, martire
30;01;10;santa Giacinta Marescotti, vergine del Terz'ordine francescano
30;01;11;beato Sebastiano Valfrè, sacerdote oratoriano
30;01;12;san Paolo Ho Hyob, soldato, martire
30;01;13;san Tommaso Khuông, sacerdote e martire
30;01;14;san Davide Galván Bermúdez, sacerdote e martire del Messico
30;01;15;san Muziano Maria Wiaux, lasalliano
30;01;16;beato Columba Marmion, abate di Maredsous
30;01;17;beata Carmela García Moyón, martire
30;01;18;beato Sigismondo Pisarski, sacerdote e martire
30;01;19;san Bronislao Markiewicz, sacerdote, fondatore della Congregazione di San Michele Arcangelo.
31;01;1;san Giovanni Bosco, sacerdote, fondatore della Società Salesiana e delle Figlie di Maria Ausiliatrice
31;01;2;santi Vittorino, Vittore, Niceforo, Claudio, Diodoro, Serapione e Papia, martiri di Corinto
31;01;3;san Metrano, martire di Alessandria d'Egitto
31;01;4;santi Ciro e Giovanni, martiri
31;01;5;san Geminiano, vescovo di Modena
31;01;6;sant'Abramo, vescovo di Arbela, martire
31;01;7;san Giulio, sacerdote
31;01;8;santa Marcella, vedova
31;01;9;sant'Aidano, vescovo di Ferns
31;01;10;san Valdo, vescovo di Évreux
31;01;11;sant'Eusebio, eremita
31;01;12;beata Ludovica Albertoni, vedova, terziaria francescana
31;01;13;san Francesco Saverio Maria Bianchi, sacerdote barnabita
31;01;14;santi Agostino Pak Chong-Won, catechista e cinque compagni, martiri coreani
31;01;15;beata Candelaria di San Giuseppe, fondatrice delle carmelitane del Venezuela.
01;02;1;san Trifone, martire
01;02;2;san Severo, vescovo di Ravenna
01;02;3;san Paolo, vescovo di Saint-Paul-Trois-Châteaux
01;02;4;santa Brigida, vergine, badessa di Kildare
01;02;5;sant'Orso, sacerdote d'Aosta
01;02;6;sant'Agrippano, vescovo di Le Puy e martire
01;02;7;san Sigeberto III, re d'Austrasia
01;02;8;san Raimondo, abate, fondatore dell'Ordine di Calatrava
01;02;9;san Giovanni, vescovo di Saint-Malo
01;02;10;beato Reginaldo d'Orléans, sacerdote domenicano
01;02;11;santa Verdiana, vergine
01;02;12;beato Andrea dei Conti di Segni, sacerdote francescano
01;02;13;beati Conor O'Devany, francescano, vescovo di Down e Connor, e Patrizio O'Lougham, sacerdote, martiri d'Irlanda
01;02;14;sant'Enrico Morse, sacerdote gesuita e martire
01;02;15;beate Maria Anna Vaillot e quarantasei compagne, martiri
01;02;16;santi Paolo Hong Yong-ju, Giovanni Yi Mun-u e Barbara Ch'oe Yong-i, martiri coreani
01;02;17;beata Giovanna Francesca della Visitazione, vergine, fondatrice delle Piccole Serve del Sacro Cuore di Gesù per gli Ammalati Poveri
01;02;18;beato Luigi Variara, sacerdote salesiano, fondatore delle Figlie dei Sacri Cuori di Gesù e di Maria.
02;02;1;festa della Presentazione del Signore
02;02;2;san Floscolo, vescovo di Orléans
02;02;3;san Lorenzo, vescovo di Canterbury
02;02;4;san Burcardo, vescovo di Würzburg
02;02;5;beato Simone Fidati, sacerdote agostiniano
02;02;6;beato Pietro Cambiani, sacerdote domenicano e martire
02;02;7;santa Caterina de' Ricci, vergine del Terz'ordine domenicano
02;02;8;santa Giovanna di Lestonnac, fondatrice della Compagnia di Maria di Nostra Signora
02;02;9;san Nicola da Longobardi, religioso dell'Ordine dei Minimi
02;02;10;beato Stefano Bellesini, sacerdote agostiniano
02;02;11;san Giovanni Teofane Vènard, sacerdote della Società per le Missioni Estere di Parigi, martire
02;02;12;beata Maria Caterina Kasper, fondatrice delle Povere Ancelle di Gesù Cristo
02;02;13;beato Andrea Carlo Ferrari, vescovo di Milano
02;02;14;beata Maria Domenica Mantovani, fondatrice delle Piccole Suore della Sacra Famiglia.
03;02;1;san Biagio, vescovo di Sebastea e martire
03;02;2;sant'Ansgario, vescovo di Amburgo e di Brema
03;02;3;santi Simeone e Anna, profeti
03;02;4;san Celerino, lettore e martire
03;02;5;san Leonio, sacerdote
03;02;6;santi Teridio e Remedio, vescovi di Gap
03;02;7;san Lupicino, vescovo di Lione
03;02;8;sant'Adelino, sacerdote e abate di Chelles
03;02;9;santa Vereburga, badessa
03;02;10;santa Berlina, vergine
03;02;11;beato Elinando, monaco
03;02;12;beato Giovanni Nelson, sacerdote gesuita e martire
03;02;13;santa Maria di sant'Ignazio Thévenet, vergine, fondatrice delle Religiose di Gesù-Maria
03;02;14;beata Maria Anna Rivier, vergine, fondatrice delle Suore della Presentazione di Maria
03;02;15;beata Maria Elena Stollenwerk, vergine, fondatrice delle Missionarie Serve dello Spirito Santo e delle Suore Serve dello Spirito Santo dell'Adorazione Perpetua.
04;02;1;sant'Eutichio, martire
04;02;2;santi Papia, Diodoro e Claudiano, martiri di Perge
04;02;3;santi Filea, vescovo, e Filoromo, tribuno, martiri
04;02;4;sant'Isidoro, sacerdote ed eremita
04;02;5;sant'Aventino, vescovo di Chartres
04;02;6;sant'Aventino, vescovo di Troyes
04;02;7;san Rabano, detto Mauro, vescovo di Magonza
04;02;8;san Nicola, monaco, egumeno del monastero di Studion
04;02;9;san Gilberto, sacerdote, fondatore dell'abbazia di Sempringham e dell'ordine che porta il suo nome
04;02;10;santa Giovanna di Valois, regina di Francia, fondatrice delle monache Annunciate
04;02;11;beato Giovanni Speed, martire
04;02;12;san Giuseppe da Leonessa, sacerdote cappuccino
04;02;13;san Giovanni de Britto, sacerdote gesuita e martire.
05;02;1;sant'Agata, vergine e martire
05;02;2;santi martiri del Ponto
05;02;3;sant'Avito, vescovo di Vienne
05;02;4;san Genuino, primo vescovo di Bressanone
05;02;5;san Luca, abate
05;02;6;san Saba, detto il Giovane, monaco
05;02;7;sant'Alboino, vescovo di Bressanone
05;02;8;sant'Adaleide, prima badessa del monastero di Vilich
05;02;9;passione dei santi Paolo Miki e cinque compagni
05;02;10;beata Francesca Mézière, vergine e martire
05;02;11;beata Elisabetta Canori Mora, madre di famiglia, del terz'ordine trinitario
05;02;12;san Gesù Méndez, sacerdote e martire.
06;02;1;santi Paolo Miki, Pietro Battista Blásquez e compagni, martiri del Giappone
06;02;2;sant'Antoliano, martire
06;02;3;san Silvano, vescovo di Emesa, Luca, diacono, e Mocio, lettore
06;02;4;santi Dorotea, vergine, e Teofilo, martiri
06;02;5;san Melis, vescovo di Ardagh
06;02;6;san Vedasto, vescovo di Arras
06;02;7;sant'Amando, vescovo di Maastricht
06;02;8;santa Renilde, badessa
06;02;9;san Guarino, vescovo di Palestrina
06;02;10;san Brinolfo, vescovo di Skara
06;02;11;beato Angelo da Furci, sacerdote agostiniano
06;02;12;sant'Alfonso Maria Fusco, sacerdote, fondatore delle Suore di San Giovanni Battista
06;02;13;beato Francesco Spinelli, sacerdote, fondatore delle Suore Adoratrici del Santissimo Sacramento
06;02;14;san Matteo Correa, sacerdote e martire.
07;02;1;san Massimo, vescovo di Nola
07;02;2;san Partenio, vescovo di Lampsaco
